episodes_cumulative,winrate,agent#
250000,0.4600000000000002,1
500000,0.3950000000000001,1
750000,0.5200000000000002,1
1000000,0.5050000000000002,1
1250000,0.4200000000000002,1
1500000,0.4700000000000002,1
1750000,0.4500000000000002,1
2000000,0.4200000000000001,1
2250000,0.4850000000000002,1
2500000,0.4600000000000002,1
250000,0.4400000000000002,2
500000,0.4550000000000002,2
750000,0.5250000000000002,2
1000000,0.4750000000000002,2
1250000,0.4850000000000002,2
1500000,0.4900000000000002,2
1750000,0.4900000000000002,2
2000000,0.5900000000000003,2
2250000,0.5700000000000003,2
2500000,0.3900000000000001,2
2750000,0.4600000000000002,2
3000000,0.4900000000000002,2
3250000,0.4500000000000002,2
3500000,0.4950000000000002,2
3750000,0.5100000000000002,2
4000000,0.4900000000000002,2
4250000,0.4400000000000002,2
4500000,0.4900000000000002,2
4750000,0.5100000000000002,2
5000000,0.5150000000000003,2
250000,0.4750000000000002,3
500000,0.4950000000000002,3
750000,0.4200000000000001,3
1000000,0.4350000000000002,3
1250000,0.4850000000000002,3
1500000,0.5700000000000003,3
1750000,0.4200000000000002,3
2000000,0.4250000000000002,3
2250000,0.5100000000000002,3
2500000,0.4400000000000002,3
2750000,0.4650000000000002,3
3000000,0.4450000000000002,3
3250000,0.5250000000000002,3
3500000,0.4350000000000001,3
3750000,0.4900000000000002,3
4000000,0.4500000000000002,3
4250000,0.5700000000000003,3
4500000,0.5600000000000003,3
4750000,0.5000000000000002,3
5000000,0.4250000000000001,3
250000,0.4250000000000002,4
500000,0.4650000000000002,4
750000,0.4700000000000002,4
1000000,0.5750000000000003,4
1250000,0.5350000000000003,4
1500000,0.4900000000000002,4
1750000,0.5350000000000003,4
2000000,0.4300000000000001,4
2250000,0.4900000000000002,4
2500000,0.5400000000000003,4
2750000,0.4400000000000001,4
3000000,0.4900000000000002,4
3250000,0.4800000000000002,4
3500000,0.4350000000000001,4
3750000,0.5350000000000003,4
4000000,0.5250000000000002,4
4250000,0.5350000000000003,4
4500000,0.6000000000000003,4
4750000,0.5300000000000002,4
5000000,0.5200000000000002,4
250000,0.4600000000000002,5
500000,0.4100000000000001,5
750000,0.5550000000000003,5
1000000,0.5200000000000002,5
1250000,0.3950000000000002,5
1500000,0.4200000000000002,5
1750000,0.4650000000000002,5
2000000,0.4950000000000002,5
2250000,0.4300000000000002,5
2500000,0.4850000000000002,5
2750000,0.4800000000000002,5
3000000,0.4850000000000002,5
3250000,0.5000000000000002,5
3500000,0.5000000000000002,5
3750000,0.4100000000000001,5
4000000,0.4700000000000002,5
4250000,0.5150000000000002,5
4500000,0.5700000000000003,5
4750000,0.4850000000000002,5
5000000,0.5600000000000003,5
